TEMPORADA,GAME_ID,FECHA,TEAM,PLAYER_NAME,START_POSITION,MIN,PTS,REB,AST,FGM,FGA,FG_PCT
22022,22200002,2022-10-18,LAL,Lonnie Walker IV,F,29:17,5.0,3.0,5.0,2.0,7.0,0.286
22022,22200002,2022-10-18,LAL,LeBron James,F,35:12,31.0,15.0,8.0,12.0,26.0,0.462
22022,22200002,2022-10-18,LAL,Anthony Davis,C,35:36,27.0,6.0,0.0,10.0,22.0,0.455
22022,22200002,2022-10-18,LAL,Russell Westbrook,G,30:41,19.0,11.0,3.0,7.0,12.0,0.583
22022,22200002,2022-10-18,LAL,Patrick Beverley,G,24:40,3.0,2.0,2.0,1.0,5.0,0.2
22022,22200002,2022-10-18,GSW,Andrew Wiggins,F,29:28,20.0,6.0,4.0,8.0,14.0,0.571
22022,22200002,2022-10-18,GSW,Draymond Green,F,24:41,4.0,5.0,5.0,2.0,5.0,0.4
22022,22200002,2022-10-18,GSW,Kevon Looney,C,21:08,7.0,6.0,2.0,3.0,4.0,0.75
22022,22200002,2022-10-18,GSW,Klay Thompson,G,19:39,18.0,2.0,3.0,6.0,13.0,0.462
22022,22200002,2022-10-18,GSW,Stephen Curry,G,32:48,33.0,6.0,7.0,10.0,22.0,0.455
22022,22200001,2022-10-18,PHI,Tobias Harris,F,34:14,18.0,2.0,0.0,7.0,14.0,0.5
22022,22200001,2022-10-18,PHI,P.J. Tucker,F,33:01,6.0,4.0,0.0,3.0,5.0,0.6
22022,22200001,2022-10-18,PHI,Joel Embiid,C,37:16,26.0,15.0,5.0,9.0,18.0,0.5
22022,22200001,2022-10-18,PHI,Tyrese Maxey,G,38:12,21.0,1.0,2.0,8.0,16.0,0.5
22022,22200001,2022-10-18,PHI,James Harden,G,37:16,35.0,8.0,7.0,9.0,14.0,0.643
22022,22200001,2022-10-18,BOS,Jaylen Brown,F,38:34,35.0,3.0,2.0,14.0,24.0,0.583
22022,22200001,2022-10-18,BOS,Jayson Tatum,F,38:37,35.0,12.0,4.0,13.0,20.0,0.65
22022,22200001,2022-10-18,BOS,Al Horford,C,23:06,6.0,5.0,1.0,2.0,7.0,0.286
22022,22200001,2022-10-18,BOS,Derrick White,G,24:02,2.0,3.0,4.0,1.0,3.0,0.333
22022,22200001,2022-10-18,BOS,Marcus Smart,G,36:05,14.0,3.0,7.0,3.0,8.0,0.375
22022,22200004,2022-10-19,WAS,Deni Avdija,F,7:40,4.0,0.0,0.0,1.0,1.0,1.0
22022,22200004,2022-10-19,WAS,Kyle Kuzma,F,34:30,22.0,13.0,2.0,8.0,19.0,0.421
22022,22200004,2022-10-19,WAS,Kristaps Porzingis,C,31:46,15.0,10.0,3.0,5.0,14.0,0.357
22022,22200004,2022-10-19,WAS,Bradley Beal,G,37:31,23.0,5.0,6.0,9.0,17.0,0.529
22022,22200004,2022-10-19,WAS,Monte Morris,G,21:23,7.0,6.0,6.0,2.0,6.0,0.333
22022,22200004,2022-10-19,IND,Buddy Hield,F,31:33,16.0,10.0,3.0,6.0,16.0,0.375
22022,22200004,2022-10-19,IND,Terry Taylor,F,24:03,8.0,2.0,1.0,2.0,6.0,0.333
22022,22200004,2022-10-19,IND,Jalen Smith,C,22:03,16.0,8.0,1.0,6.0,14.0,0.429
22022,22200004,2022-10-19,IND,Chris Duarte,G,19:25,5.0,1.0,0.0,1.0,3.0,0.333
22022,22200004,2022-10-19,IND,Tyrese Haliburton,G,35:40,26.0,4.0,7.0,10.0,18.0,0.556
22022,22200006,2022-10-19,NOP,Brandon Ingram,F,31:00,28.0,7.0,5.0,10.0,17.0,0.588
22022,22200006,2022-10-19,NOP,Zion Williamson,F,30:02,25.0,9.0,3.0,11.0,22.0,0.5
22022,22200006,2022-10-19,NOP,Jonas Valanciunas,C,26:36,15.0,13.0,2.0,6.0,13.0,0.462
22022,22200006,2022-10-19,NOP,Herbert Jones,G,27:58,6.0,4.0,3.0,2.0,7.0,0.286
22022,22200006,2022-10-19,NOP,CJ McCollum,G,31:02,21.0,4.0,6.0,7.0,16.0,0.438
22022,22200006,2022-10-19,BKN,Kevin Durant,F,31:47,32.0,3.0,2.0,11.0,21.0,0.524
22022,22200006,2022-10-19,BKN,Royce O'Neale,F,34:09,10.0,7.0,3.0,4.0,7.0,0.571
22022,22200006,2022-10-19,BKN,Nic Claxton,C,24:46,13.0,10.0,0.0,6.0,7.0,0.857
22022,22200006,2022-10-19,BKN,Kyrie Irving,G,34:10,15.0,2.0,5.0,6.0,19.0,0.316
22022,22200006,2022-10-19,BKN,Ben Simmons,G,23:10,4.0,5.0,5.0,2.0,3.0,0.667
22022,22200014,2022-10-19,POR,Josh Hart,F,38:19,19.0,7.0,5.0,8.0,11.0,0.727
22022,22200014,2022-10-19,POR,Jerami Grant,F,35:20,23.0,8.0,1.0,5.0,11.0,0.455
22022,22200014,2022-10-19,POR,Jusuf Nurkic,C,25:11,8.0,7.0,1.0,3.0,9.0,0.333
22022,22200014,2022-10-19,POR,Anfernee Simons,G,35:51,22.0,3.0,2.0,9.0,22.0,0.409
22022,22200014,2022-10-19,POR,Damian Lillard,G,36:45,20.0,4.0,8.0,5.0,18.0,0.278
22022,22200014,2022-10-19,SAC,Harrison Barnes,F,31:20,9.0,8.0,4.0,4.0,8.0,0.5
22022,22200014,2022-10-19,SAC,KZ Okpala,F,15:58,0.0,2.0,1.0,0.0,1.0,0.0
22022,22200014,2022-10-19,SAC,Domantas Sabonis,C,33:07,13.0,4.0,5.0,5.0,10.0,0.5
22022,22200014,2022-10-19,SAC,Kevin Huerter,G,28:48,23.0,3.0,2.0,8.0,12.0,0.667
22022,22200014,2022-10-19,SAC,De'Aaron Fox,G,35:08,33.0,7.0,7.0,12.0,21.0,0.571
22022,22200007,2022-10-19,CHI,DeMar DeRozan,F,36:08,37.0,6.0,9.0,14.0,22.0,0.636
22022,22200007,2022-10-19,CHI,Patrick Williams,F,28:08,4.0,2.0,0.0,2.0,6.0,0.333
22022,22200007,2022-10-19,CHI,Nikola Vucevic,C,33:07,15.0,17.0,2.0,5.0,13.0,0.385
22022,22200007,2022-10-19,CHI,Alex Caruso,G,29:39,6.0,5.0,4.0,2.0,10.0,0.2
22022,22200007,2022-10-19,CHI,Ayo Dosunmu,G,36:25,17.0,6.0,4.0,7.0,14.0,0.5
22022,22200007,2022-10-19,MIA,Jimmy Butler III,F,36:34,24.0,8.0,3.0,5.0,11.0,0.455
22022,22200007,2022-10-19,MIA,Caleb Martin,F,28:37,7.0,4.0,3.0,3.0,9.0,0.333
22022,22200007,2022-10-19,MIA,Bam Adebayo,C,33:60,12.0,9.0,2.0,5.0,15.0,0.333
22022,22200007,2022-10-19,MIA,Tyler Herro,G,34:28,23.0,6.0,1.0,8.0,15.0,0.533
22022,22200007,2022-10-19,MIA,Kyle Lowry,G,34:39,2.0,5.0,4.0,1.0,7.0,0.143
22022,22200013,2022-10-19,DAL,Reggie Bullock Jr.,F,29:53,10.0,2.0,1.0,3.0,6.0,0.5
22022,22200013,2022-10-19,DAL,Dorian Finney-Smith,F,38:12,5.0,3.0,0.0,2.0,4.0,0.5
22022,22200013,2022-10-19,DAL,JaVale McGee,C,14:08,3.0,4.0,1.0,1.0,3.0,0.333
22022,22200013,2022-10-19,DAL,Spencer Dinwiddie,G,27:31,15.0,3.0,3.0,6.0,11.0,0.545
22022,22200013,2022-10-19,DAL,Luka Doncic,G,36:40,35.0,9.0,6.0,10.0,23.0,0.435
22022,22200013,2022-10-19,PHX,Mikal Bridges,F,41:05,13.0,11.0,1.0,5.0,10.0,0.5
22022,22200013,2022-10-19,PHX,Cameron Johnson,F,27:10,15.0,3.0,0.0,6.0,13.0,0.462
22022,22200013,2022-10-19,PHX,Deandre Ayton,C,30:25,18.0,10.0,2.0,8.0,11.0,0.727
22022,22200013,2022-10-19,PHX,Devin Booker,G,40:37,28.0,4.0,9.0,10.0,20.0,0.5
22022,22200013,2022-10-19,PHX,Chris Paul,G,30:17,6.0,3.0,9.0,1.0,6.0,0.167
22022,22200005,2022-10-19,HOU,Eric Gordon,F,29:19,11.0,1.0,4.0,4.0,9.0,0.444
22022,22200005,2022-10-19,HOU,Jabari Smith Jr.,F,32:54,17.0,7.0,1.0,6.0,17.0,0.353
22022,22200005,2022-10-19,HOU,Bruno Fernando,C,25:02,7.0,9.0,7.0,3.0,3.0,1.0
22022,22200005,2022-10-19,HOU,Jalen Green,G,32:13,16.0,5.0,3.0,7.0,20.0,0.35
22022,22200005,2022-10-19,HOU,Kevin Porter Jr.,G,33:57,21.0,7.0,7.0,9.0,19.0,0.474
