TEAM,DefRtg,OffRtg,PACE,REB%,DRB%,ORB%,Opp_PTS,Opp_AST,Opp_REB
OKC,3941.0,119.2,106.6,12.7,60.2,2.29,49.6,56.0,59.3,100.90,56.2
CLE,3951.0,121.0,111.8,9.2,63.1,2.13,50.5,57.8,60.7,100.31,54.6
BOS,3966.0,119.5,110.1,9.4,62.8,2.20,50.6,56.1,59.1,96.59,54.2
HOU,3956.0,114.9,110.3,4.6,54.9,1.68,53.3,52.3,55.3,99.03,51.5
NYK,3976.0,117.3,113.3,4.0,63.4,2.07,50.8,55.6,58.9,97.64,52.7
DEN,3971.0,118.9,115.1,3.8,68.3,2.17,52.0,57.3,60.4,100.67,52.9
IND,3971.0,115.4,113.3,2.1,67.1,2.22,48.3,56.2,59.4,100.76,52.1
LAC,3961.0,114.3,109.4,4.9,60.5,1.69,51.2,55.4,58.9,98.24,52.1
LAL,3946.0,115.0,113.8,1.2,63.5,1.86,49.5,55.7,59.3,98.34,51.1
MIN,3966.0,115.7,110.8,5.0,63.7,1.81,50.7,55.4,58.8,97.95,52.4
GSW,3946.0,114.2,111.0,3.2,71.4,2.07,50.9,53.6,56.8,99.37,51.5
MEM,3941.0,117.2,112.6,4.7,63.5,1.81,51.8,55.4,58.8,103.69,52.4
MIL,3951.0,115.1,112.7,2.4,60.7,1.91,49.1,56.8,59.8,99.92,51.3
DET,3961.0,114.6,112.5,2.1,61.8,1.78,51.1,54.7,58.0,100.27,50.9
ORL,3946.0,108.9,109.1,-0.2,60.3,1.62,50.1,51.0,55.0,96.51,49.7
ATL,3956.0,113.7,114.8,-1.1,68.2,1.91,50.3,54.6,57.9,103.41,49.8
SAC,3976.0,115.9,115.3,0.6,61.5,1.99,51.0,54.8,58.2,98.91,50.2
CHI,3951.0,113.2,114.8,-1.6,67.3,1.98,49.6,55.3,58.5,103.61,49.5
DAL,3946.0,113.7,115.0,-1.3,60.1,1.80,48.8,54.9,58.3,100.15,49.6
MIA,3986.0,112.4,112.0,0.4,65.3,1.94,49.6,54.4,57.6,97.08,50.5
PHX,3966.0,114.7,117.7,-3.0,67.3,1.97,49.3,56.1,59.5,98.31,49.5
POR,3956.0,111.0,113.7,-2.7,58.7,1.49,50.1,52.1,55.5,99.51,47.3
SAS,3946.0,113.5,116.3,-2.8,68.5,2.06,48.5,54.4,57.5,100.08,49.3
TOR,3961.0,109.6,113.6,-4.1,68.5,1.86,50.0,52.2,55.3,100.62,47.7
BKN,3956.0,108.1,115.4,-7.3,66.9,1.66,48.7,51.6,55.2,96.73,45.2
PHI,3961.0,111.0,117.3,-6.3,58.4,1.70,47.1,52.7,56.3,98.13,45.9
NOP,3951.0,109.7,119.1,-9.4,63.6,1.76,48.7,51.9,55.2,99.77,45.5
CHA,3951.0,106.7,115.7,-9.1,63.5,1.57,50.0,50.3,53.7,98.22,45.0
WAS,3946.0,105.8,118.0,-12.2,63.7,1.61,47.6,51.2,54.6,101.82,43.7
UTA,3961.0,110.2,119.4,-9.2,63.3,1.48,50.8,53.3,56.8,100.85,45.0
