Opp,pos,pts,reb,ast,min,stl,blk,fga,fgm,fgp,3pa,3pm,3pp,tov,pf,fta,n_player_games
ATL,C,17.82,9.46,2.8,33.22,1.24,1.36,11.94,6.84,0.573,2.86,1.18,0.413,1.92,2.2,3.8,50
ATL,SF,19.374,6.652,3.878,34.035,1.0,0.878,14.087,6.939,0.493,5.583,2.104,0.377,2.009,2.391,4.287,115
ATL,SG,18.903,4.581,5.048,33.72,1.462,0.366,14.118,6.737,0.477,6.543,2.651,0.405,2.457,2.419,3.344,186
BKN,C,18.707,11.049,3.39,32.585,1.073,1.732,10.951,6.976,0.637,2.415,1.049,0.434,1.732,2.317,4.878,41
BKN,SF,17.147,6.752,3.55,33.468,1.083,0.881,12.688,6.33,0.499,4.651,1.706,0.367,2.055,2.248,3.67,109
BKN,SG,18.061,4.341,5.165,33.659,1.201,0.476,13.457,6.28,0.467,6.213,2.348,0.378,2.134,2.122,3.787,164
BOS,C,14.468,10.149,2.489,32.128,0.511,0.851,11.128,5.787,0.52,2.404,0.894,0.372,1.298,2.128,2.787,47
BOS,SF,16.175,7.088,3.0,33.763,0.912,0.561,12.991,6.044,0.465,5.123,1.825,0.356,1.64,2.333,3.044,114
BOS,SG,18.067,4.657,4.68,34.719,1.107,0.337,14.646,6.635,0.453,6.258,2.258,0.361,1.938,2.264,3.045,178
CHA,C,17.143,10.531,3.122,32.184,1.082,1.286,12.408,6.673,0.538,3.429,1.265,0.369,1.796,2.102,3.388,49
CHA,SF,17.777,6.641,3.602,33.466,1.078,0.806,13.495,6.476,0.48,5.612,2.019,0.36,1.786,2.301,3.602,103
CHA,SG,18.061,4.582,4.648,33.182,1.23,0.491,13.661,6.315,0.462,6.467,2.339,0.362,1.897,2.079,3.703,165
CHI,C,19.298,11.17,3.021,32.617,1.149,1.362,14.043,7.894,0.562,3.043,0.957,0.315,1.447,2.255,3.596,47
CHI,SF,18.579,7.121,3.299,33.159,1.0,0.692,14.178,6.879,0.485,5.224,1.748,0.335,1.748,1.991,3.935,107
CHI,SG,19.145,4.547,5.333,33.509,1.182,0.447,15.088,6.868,0.455,7.025,2.553,0.363,1.73,1.717,3.371,159
CLE,C,15.233,10.302,3.0,32.628,0.698,1.163,11.209,6.093,0.544,2.791,0.93,0.333,1.581,2.628,3.349,43
CLE,SF,18.233,6.825,3.308,33.108,1.175,0.533,14.117,6.733,0.477,5.225,1.983,0.38,1.867,2.217,3.642,120
CLE,SG,18.581,4.317,4.808,34.216,1.078,0.371,14.425,6.581,0.456,6.359,2.425,0.381,2.114,2.359,3.521,167
DAL,C,18.949,10.564,3.718,32.462,1.128,1.179,12.872,7.385,0.574,2.154,0.897,0.417,2.051,2.769,4.538,39
DAL,SF,18.165,6.789,3.495,33.661,0.991,0.642,13.514,6.596,0.488,4.743,1.817,0.383,1.771,2.064,3.917,109
DAL,SG,18.295,4.602,4.619,33.744,1.131,0.415,14.619,6.75,0.462,6.114,2.21,0.362,1.898,2.267,3.222,176
DEN,C,16.161,10.375,3.125,33.482,1.107,1.286,11.982,6.429,0.537,2.607,0.786,0.301,1.679,2.679,3.518,56
DEN,SF,17.875,6.429,3.759,33.473,1.188,0.848,13.946,6.634,0.476,5.188,1.902,0.367,1.723,2.348,3.411,112
DEN,SG,19.57,4.127,5.618,34.321,1.182,0.552,15.339,6.982,0.455,7.036,2.648,0.376,1.952,2.073,3.558,165
DET,C,17.17,10.34,3.472,32.943,0.981,1.774,12.038,6.434,0.534,3.0,1.283,0.428,2.094,2.66,4.038,53
DET,SF,18.717,6.717,3.31,33.903,1.186,0.708,13.619,6.593,0.484,5.23,1.991,0.381,1.867,2.319,4.398,113
DET,SG,18.521,4.202,4.117,33.926,1.324,0.367,14.34,6.574,0.458,6.814,2.574,0.378,2.181,2.234,3.468,188
GSW,C,15.222,10.756,2.978,32.089,1.044,1.378,10.889,6.111,0.561,1.8,0.756,0.42,1.889,2.156,3.267,45
GSW,SF,18.322,6.466,3.432,34.237,0.975,0.737,13.568,6.686,0.493,5.28,2.042,0.387,2.059,2.5,3.686,118
GSW,SG,17.557,4.529,4.523,33.747,1.126,0.569,13.667,6.31,0.462,6.149,2.207,0.359,2.414,2.408,3.374,174
HOU,C,14.265,9.408,2.204,31.837,0.918,1.653,10.163,5.694,0.56,2.327,0.898,0.386,1.408,3.224,2.918,49
HOU,SF,16.675,6.282,2.821,33.538,1.017,0.932,12.573,6.214,0.494,4.453,1.692,0.38,1.863,2.453,3.436,117
HOU,SG,18.8,4.453,4.5,34.118,1.071,0.453,14.594,6.753,0.463,5.912,2.318,0.392,2.165,1.965,3.6,170
IND,C,16.935,10.935,2.848,33.217,0.891,0.978,11.283,6.63,0.588,2.217,0.804,0.363,2.022,2.413,3.761,46
IND,SF,18.231,7.214,3.179,34.12,1.009,0.632,13.59,6.667,0.491,5.299,1.872,0.353,2.094,2.256,3.897,117
IND,SG,18.519,4.283,4.642,33.856,1.021,0.433,14.455,6.652,0.46,6.433,2.449,0.381,2.182,2.449,3.374,187
LAC,C,14.558,9.791,3.535,32.907,1.14,1.302,10.907,5.488,0.503,2.977,1.209,0.406,2.023,2.558,3.442,43
LAC,SF,16.652,6.557,3.07,34.209,1.174,0.635,12.617,6.035,0.478,5.061,1.904,0.376,2.157,2.096,3.426,115
LAC,SG,16.924,4.302,4.651,33.43,1.221,0.343,13.192,5.872,0.445,6.198,2.238,0.361,2.169,2.058,3.535,172
LAL,C,14.537,10.537,2.829,33.024,0.829,1.171,10.0,5.732,0.573,1.512,0.512,0.339,1.756,2.951,3.317,41
LAL,SF,17.733,6.621,3.233,33.121,1.129,0.655,13.414,6.526,0.487,5.284,1.94,0.367,1.828,2.336,3.552,116
LAL,SG,17.527,4.341,5.066,33.357,1.231,0.319,14.06,6.363,0.453,6.341,2.363,0.373,2.115,2.104,3.115,182
MEM,C,16.812,10.146,2.562,32.083,0.938,1.542,12.479,6.583,0.528,2.958,1.125,0.38,2.042,2.938,3.521,48
MEM,SF,18.197,7.094,3.726,33.282,1.145,0.855,13.65,6.496,0.476,5.675,2.145,0.378,1.872,2.41,4.12,117
MEM,SG,17.795,4.25,4.898,33.301,1.239,0.517,14.006,6.148,0.439,6.136,2.239,0.365,2.205,2.42,3.938,176
MIA,C,15.654,10.212,2.538,32.558,0.673,1.346,10.462,6.346,0.607,2.154,0.942,0.438,1.635,2.365,2.731,52
MIA,SF,17.357,7.13,3.191,34.339,0.922,0.678,13.27,6.461,0.487,5.278,2.096,0.397,1.878,2.078,3.07,115
MIA,SG,17.538,4.683,5.131,34.121,1.221,0.407,14.176,6.387,0.451,6.754,2.477,0.367,1.925,2.065,2.799,199
MIL,C,16.345,9.793,3.121,33.276,0.931,0.81,12.431,6.483,0.521,3.103,1.034,0.333,1.776,2.845,3.241,58
MIL,SF,16.336,6.991,2.909,33.5,1.118,0.618,12.809,5.891,0.46,5.827,2.082,0.357,1.855,2.618,3.1,110
MIL,SG,18.341,4.892,5.049,33.714,1.038,0.373,14.486,6.551,0.452,6.373,2.308,0.362,1.832,1.968,3.541,185
MIN,C,16.381,9.024,3.405,33.0,0.833,1.524,11.952,6.262,0.524,2.952,1.071,0.363,2.0,2.81,3.786,42
MIN,SF,17.261,6.697,2.756,34.244,1.168,0.723,13.689,6.429,0.47,5.252,1.815,0.346,1.874,2.437,3.454,119
MIN,SG,18.275,4.345,4.754,34.544,1.17,0.409,14.187,6.62,0.467,6.0,2.363,0.394,2.105,2.351,3.327,171
NOP,C,16.95,11.0,3.6,32.475,0.725,1.45,11.425,6.875,0.602,2.2,0.825,0.375,1.5,2.95,3.5,40
NOP,SF,17.922,6.5,3.647,32.819,1.25,0.75,13.328,6.647,0.499,5.629,2.103,0.374,1.914,2.328,3.336,116
NOP,SG,17.966,4.489,5.131,33.71,1.472,0.392,13.864,6.307,0.455,6.483,2.369,0.365,2.011,1.812,3.54,176
NYK,C,13.643,9.262,2.929,32.667,0.833,1.429,9.905,5.5,0.555,1.738,0.619,0.356,1.952,2.857,2.667,42
NYK,SF,17.907,6.441,3.339,34.271,0.924,0.644,13.458,6.559,0.487,5.5,2.136,0.388,2.034,2.5,3.441,118
NYK,SG,18.639,4.396,4.74,33.704,1.065,0.533,14.462,6.769,0.468,5.941,2.32,0.39,2.272,2.178,3.278,169
OKC,C,16.45,11.65,3.45,33.55,0.9,1.425,12.4,6.225,0.502,2.725,0.775,0.284,2.2,2.2,4.65,40
OKC,SF,16.673,6.991,2.956,33.363,0.894,0.708,12.929,5.77,0.446,5.991,2.407,0.402,2.027,2.159,3.407,113
OKC,SG,16.148,4.455,4.347,33.108,0.943,0.466,13.074,5.528,0.423,6.284,2.165,0.344,2.335,2.301,3.506,176
ORL,C,14.732,10.195,2.902,33.098,0.951,0.976,10.585,5.756,0.544,2.049,0.634,0.31,2.659,2.634,3.61,41
ORL,SF,16.08,6.469,2.726,33.186,0.947,0.708,11.743,5.876,0.5,4.327,1.726,0.399,1.92,2.372,3.584,113
ORL,SG,17.632,4.621,4.092,33.489,1.184,0.299,13.598,6.241,0.459,5.437,1.908,0.351,2.431,2.431,3.902,174
PHI,C,15.805,10.098,3.244,32.39,1.0,1.585,11.024,6.073,0.551,2.439,1.098,0.45,2.195,2.683,3.585,41
PHI,SF,18.451,7.009,3.513,33.487,0.841,0.814,12.814,6.726,0.525,5.062,1.912,0.378,2.062,2.416,3.796,113
PHI,SG,17.73,4.708,5.096,33.961,1.225,0.371,13.438,6.303,0.469,6.393,2.472,0.387,2.365,2.062,3.258,178
