Jugador,Defensa,Media Min,Media PTS,Media REB,Media AST,%FG Media
Aaron Gordon,Aaron Nesmith,30.004166666666666,16.75,3.5,3.25,0.643
Aaron Gordon,Aleksej Pokusevski,33.87222222222223,23.0,7.666666666666667,3.0,0.605
Aaron Gordon,Andrew Wiggins,32.19166666666666,14.0,7.25,3.25,0.5
Aaron Gordon,Bojan Bogdanovic,24.46666666666667,12.5,4.0,1.0,0.714
Aaron Gordon,Brandon Ingram,34.75333333333333,14.0,7.4,4.0,0.544
Aaron Gordon,Buddy Hield,35.79166666666667,19.0,13.0,4.5,0.667
Aaron Gordon,Cameron Johnson,29.71,15.6,4.2,2.0,0.636
Aaron Gordon,Chet Holmgren,22.983333333333334,10.5,7.5,3.5,0.474
Aaron Gordon,Cody Williams,26.141666666666666,9.0,5.5,5.0,0.538
Aaron Gordon,Dario Saric,29.141666666666666,13.0,5.5,2.5,0.5
Aaron Gordon,DeMar DeRozan,30.54,16.6,8.0,3.4,0.518
Aaron Gordon,Deni Avdija,27.76,14.2,4.4,3.4,0.553
Aaron Gordon,Derrick Jones Jr.,32.22083333333333,15.0,6.5,4.25,0.512
Aaron Gordon,Dillon Brooks,32.11666666666667,11.833333333333334,6.166666666666667,3.6666666666666665,0.419
Aaron Gordon,Donte DiVincenzo,37.06666666666666,11.5,7.0,7.5,0.407
Aaron Gordon,Dorian Finney-Smith,31.0125,18.5,5.25,2.0,0.643
Aaron Gordon,Draymond Green,33.858333333333334,11.5,6.5,5.0,0.367
Aaron Gordon,Eric Gordon,22.541666666666668,12.0,4.5,1.0,0.6
Aaron Gordon,Evan Mobley,31.120833333333334,12.25,7.25,3.25,0.487
Aaron Gordon,Franz Wagner,32.38333333333333,22.0,8.5,4.0,0.607
Aaron Gordon,Giannis Antetokounmpo,29.810000000000002,13.2,7.8,2.2,0.413
Aaron Gordon,Gordon Hayward,30.125,16.5,6.0,1.0,0.55
Aaron Gordon,Grant Williams,29.96111111111111,18.666666666666668,6.666666666666667,4.333333333333333,0.583
Aaron Gordon,Harrison Barnes,29.341666666666665,18.25,7.75,3.25,0.636
Aaron Gordon,Isaac Okoro,32.15,15.0,8.5,1.5,0.571
Aaron Gordon,Isaiah Livers,24.46666666666667,12.5,4.0,1.0,0.714
Aaron Gordon,Jabari Smith Jr.,28.39047619047619,9.857142857142858,6.571428571428571,3.0,0.45
Aaron Gordon,Jabari Walker,28.608333333333334,15.0,5.5,3.5,0.647
Aaron Gordon,Jaden McDaniels,31.43333333333333,16.22222222222222,7.333333333333333,4.333333333333333,0.51
Aaron Gordon,Jalen Smith,35.79166666666667,19.0,13.0,4.5,0.667
Aaron Gordon,Jalen Williams,26.659999999999997,11.4,6.6,2.0,0.426
Aaron Gordon,Jaren Jackson Jr.,28.67222222222222,15.666666666666666,4.666666666666667,2.3333333333333335,0.514
Aaron Gordon,Jaxson Hayes,26.85,18.5,7.5,1.5,0.619
Aaron Gordon,Jaylen Brown,37.51666666666667,12.0,8.333333333333334,3.6666666666666665,0.412
Aaron Gordon,Jayson Tatum,35.7375,13.25,8.0,3.25,0.455
Aaron Gordon,Jerami Grant,30.105555555555554,13.333333333333334,5.333333333333333,3.3333333333333335,0.607
Aaron Gordon,Jeremy Sochan,27.733333333333334,9.5,5.0,4.25,0.682
Aaron Gordon,Jimmy Butler III,34.391666666666666,14.5,6.0,4.5,0.543
Aaron Gordon,John Collins,27.772222222222222,14.333333333333334,5.0,4.333333333333333,0.8
Aaron Gordon,Jonathan Kuminga,33.09166666666667,19.5,8.5,3.0,0.674
Aaron Gordon,Josh Green,31.133333333333333,12.0,5.0,2.0,0.478
Aaron Gordon,Josh Hart,31.275000000000002,15.833333333333334,5.666666666666667,3.1666666666666665,0.656
Aaron Gordon,Juan Toscano-Anderson,25.266666666666666,12.0,7.0,1.0,0.556
Aaron Gordon,Julian Champagnie,29.022222222222222,14.333333333333334,4.666666666666667,5.0,0.857
Aaron Gordon,Julius Randle,36.358333333333334,21.75,7.25,4.0,0.564
Aaron Gordon,KJ Martin,26.866666666666667,12.0,8.0,4.5,0.611
Aaron Gordon,Kawhi Leonard,30.1875,11.75,6.0,4.0,0.541
Aaron Gordon,Keegan Murray,29.341666666666665,18.25,7.75,3.25,0.636
Aaron Gordon,Keldon Johnson,28.611111111111114,10.333333333333334,5.666666666666667,3.3333333333333335,0.632
Aaron Gordon,Kelly Olynyk,28.16111111111111,13.333333333333334,4.0,1.0,0.529
Aaron Gordon,Kevin Durant,31.241666666666664,16.166666666666668,4.166666666666667,2.5,0.474
Aaron Gordon,Khris Middleton,25.275,8.5,6.5,1.5,0.4
Aaron Gordon,Klay Thompson,33.400000000000006,23.0,9.5,2.5,0.667
Aaron Gordon,Kris Murray,33.225,17.0,9.5,3.5,0.414
Aaron Gordon,Kyle Anderson,31.241666666666667,12.0,9.5,3.5,0.333
Aaron Gordon,Kyle Filipowski,26.141666666666666,9.0,5.5,5.0,0.538
Aaron Gordon,Kyle Kuzma,26.99666666666667,13.2,5.2,2.4,0.473
Aaron Gordon,Lauri Markkanen,29.008333333333333,14.5,5.75,2.0,0.667
Aaron Gordon,LeBron James,32.63809523809524,15.571428571428571,6.142857142857143,3.2857142857142856,0.549
Aaron Gordon,Lonnie Walker IV,30.475,11.5,6.0,3.0,0.429
Aaron Gordon,Luguentz Dort,32.59761904761905,17.285714285714285,7.714285714285714,2.7142857142857144,0.5
Aaron Gordon,Marcus Morris Sr.,28.176666666666666,16.6,5.8,3.8,0.667
Aaron Gordon,Mikal Bridges,32.47777777777778,19.666666666666668,7.0,2.0,0.667
Aaron Gordon,Miles Bridges,29.683333333333334,12.0,3.5,1.25,0.513
Aaron Gordon,Naz Reid,28.3,14.333333333333334,5.0,7.0,0.556
Aaron Gordon,Nicolas Batum,31.166666666666668,16.25,5.25,3.25,0.676
Aaron Gordon,Nikola Jovic,35.33333333333333,16.0,8.5,3.5,0.579
Aaron Gordon,OG Anunoby,31.025,16.0,4.5,2.75,0.619
Aaron Gordon,Ochai Agbaji,17.475,11.0,1.0,1.0,0.818
Aaron Gordon,P.J. Tucker,29.76111111111111,16.0,5.0,4.0,0.559
Aaron Gordon,P.J. Washington,30.983333333333334,15.0,9.0,2.5,0.625
Aaron Gordon,Paolo Banchero,33.15333333333333,20.8,8.4,3.8,0.609
Aaron Gordon,Pascal Siakam,30.03666666666667,16.6,3.6,2.6,0.625
Aaron Gordon,Patrick Williams,29.158333333333335,13.5,6.0,4.0,0.526
Aaron Gordon,Paul George,35.416666666666664,15.333333333333334,5.666666666666667,4.666666666666667,0.548
Aaron Gordon,RJ Barrett,27.075,13.0,4.5,4.25,0.613
Aaron Gordon,Royce O'Neale,27.150000000000002,9.333333333333334,5.0,2.6666666666666665,0.346
Aaron Gordon,Rui Hachimura,33.955555555555556,17.666666666666668,6.0,4.0,0.564
Aaron Gordon,Ryan Dunn,21.766666666666666,8.0,6.5,3.0,0.312
Aaron Gordon,Scottie Barnes,36.15833333333333,14.0,8.0,5.0,0.588
Aaron Gordon,Taurean Prince,26.75,11.0,4.5,3.0,0.588
Aaron Gordon,Tobias Harris,30.727777777777778,15.333333333333334,5.0,3.0,0.6
Aaron Gordon,Torrey Craig,33.327777777777776,18.333333333333332,8.333333333333334,3.0,0.613
Aaron Gordon,Toumani Camara,29.880555555555556,13.666666666666666,4.833333333333333,5.166666666666667,0.518
Aaron Gordon,Trey Murphy III,32.69,14.6,6.4,3.2,0.551
Aaron Gordon,Zion Williamson,34.80333333333333,14.0,7.4,4.4,0.536
Aaron Holiday,Jrue Holiday,19.125,4.0,1.0,4.0,0.333
Aaron Holiday,Kyrie Irving,26.158333333333335,7.0,2.5,2.0,0.462
Aaron Nesmith,Aaron Gordon,30.229166666666664,15.0,5.5,0.25,0.452
Aaron Nesmith,Al Horford,30.15,13.0,3.5,2.0,0.529
Aaron Nesmith,Alex Caruso,29.25,13.333333333333334,5.333333333333333,2.3333333333333335,0.371
Aaron Nesmith,Andrew Wiggins,30.9,10.5,3.5,1.5,0.389
Aaron Nesmith,Ausar Thompson,20.708333333333336,4.5,2.0,1.0,0.375
Aaron Nesmith,Bogdan Bogdanovic,20.427777777777777,7.333333333333333,4.0,1.6666666666666667,0.421
Aaron Nesmith,Brandon Ingram,15.333333333333334,10.5,2.0,2.0,0.8
Aaron Nesmith,Caleb Martin,29.2,9.666666666666666,5.333333333333333,0.6666666666666666,0.4
Aaron Nesmith,De'Andre Hunter,22.25,12.5,2.0,1.0,0.75
Aaron Nesmith,De'Anthony Melton,27.183333333333334,18.0,5.5,3.0,0.5
Aaron Nesmith,DeMar DeRozan,28.125,11.166666666666666,4.833333333333333,1.5,0.344
Aaron Nesmith,Deni Avdija,26.96666666666667,12.5,5.0,2.0,0.467
Aaron Nesmith,Dillon Brooks,32.45,13.0,4.0,0.75,0.515
Aaron Nesmith,Dorian Finney-Smith,26.405555555555555,12.0,4.333333333333333,1.6666666666666667,0.583
Aaron Nesmith,Evan Mobley,29.483333333333334,14.0,3.0,1.3333333333333333,0.483
